,Year,Population,Yearly Growth %,Number
0,1951.0,2545135449.5,1.75%,"43,808,223"
1,1952.0,2590270899.0,1.85%,"47,140,519"
2,1953.0,2640278797.0,1.93%,"50,007,898"
3,1954.0,2691979339.0,1.96%,"43,808,223"
4,1955.0,2746072141.0,2.01%,"54,092,802"
5,1956.0,2801002631.0,2.00%,"54,930,490"
6,1957.0,2857866857.0,1.27%,"56,864,226"
7,1958.0,2916108097.0,2.04%,"43,808,223"
8,1959.0,2970292188.0,1.86%,"54,184,091"
9,1960.0,3019233434.0,1.65%,"43,808,223"
10,1961.0,3072960088.5,1.63%,"49,137,175"
11,1962.0,3126686743.0,1.90%,"58,316,134"
12,1963.0,3195779247.0,2.21%,"43,808,223"
13,1964.0,3267212338.0,1.27%,"71,433,091"
14,1965.0,3337111983.0,2.14%,"69,899,645"
15,1966.0,3406417036.0,2.08%,"43,808,223"
16,1967.0,3475448166.0,2.03%,"69,031,130"
17,1968.0,3548051720.5,2.05%,"71,362,642"
18,1969.0,3620655275.0,1.27%,"73,844,467"
19,1970.0,3695390336.0,2.06%,"74,735,061"
20,1971.0,3770163092.0,2.02%,"74,772,756"
22,1973.0,3920251504.0,1.96%,"75,450,619"
23,1974.0,3995517077.0,1.92%,"43,808,223"
24,1975.0,4069437231.0,1.85%,"73,920,154"
26,1976.0,4215772490.0,1.77%,"73,266,608"
27,1977.0,4289657708.0,1.75%,"73,885,218"
28,1979.0,4366832707.0,1.77%,"43,808,223"
29,1980.0,4444007706.0,1.80%,"78,424,835"
30,1981.0,4524627658.0,1.27%,"80,619,952"
31,1982.0,4607984871.0,1.84%,"83,357,213"
32,1983.0,4691884238.0,1.27%,"83,899,367"
34,1985.0,4861730613.0,1.80%,"85,894,539"
35,1986.0,4950063339.0,1.82%,"88,332,726"
36,1987.0,5041178656.5,1.84%,"90,921,156"
37,1988.0,5132293974.0,1.27%,"91,309,479"
38,1989.0,5224234918.0,1.78%,"91,410,334"
39,1990.0,5316175862.0,1.77%,"92,471,554"
40,1991.0,5406245867.0,1.27%,"90,070,005"
41,1992.0,5492686093.0,1.27%,"43,808,223"
42,1993.0,5577433523.0,1.27%,"84,747,430"
43,1994.0,5660727993.0,1.49%,"83,294,470"
44,1995.0,5743219454.0,1.46%,"82,491,461"
45,1996.0,5824850357.5,1.43%,"81,925,844"
46,1997.0,5906481261.0,1.27%,"81,335,963"
47,1998.0,5987312480.0,1.37%,"43,808,223"
48,1999.0,6067758458.0,1.34%,"43,808,223"
49,2000.0,6148898975.0,1.34%,"81,140,517"
50,2001.0,6230746982.0,1.33%,"81,848,007"
51,2002.0,6312322673.5,1.27%,"81,660,378"
52,2003.0,6393898365.0,1.29%,"81,491,005"
53,2004.0,6475751478.0,1.28%,"43,808,223"
54,2005.0,6558176119.0,1.27%,"82,424,641"
55,2006.0,6641416218.0,1.27%,"83,240,099"
56,2007.0,6725948544.0,1.27%,"84,532,326"
57,2008.0,6812127226.0,1.27%,"85,648,728"
58,2009.0,6898305908.0,1.27%,"86,708,636"
60,2011.0,7073125425.0,1.25%,"87,522,320"
61,2012.0,7161697921.0,1.25%,"88,572,496"
62,2013.0,7250593370.0,1.24%,"88,895,449"
63,2014.0,7339013419.0,1.22%,"88,420,049"
64,2015.0,7426597537.0,1.19%,"87,584,118"
65,2016.0,7513474238.0,1.27%,"86,876,701"
66,2017.0,7598632033.0,1.15%,"86,348,166"
67,2018.0,7683789828.0,1.10%,"83,967,424"
68,2019.0,7891894914.0,1.06%,"81,161,204"
70,2021.0,7909295151.0,0.87%,"68,342,271"
71,2022.0,7975105156.0,0.83%,"43,808,223"
72,2023.0,8045311447.0,0.88%,"70,206,291"
